['6220775', '6780393', '6866291'] #GCS: 0.0865408742819
['6220775', '6243535', '6866291'] #GCS: 0.0662259443256
['6915778', '6916394', '6917899'] #GCS: 0.0635768585788
['6846862', '6872438', '6916394'] #GCS: 0.0437314115727
['6243535', '6846862', '6916394'] #GCS: 0.0716102204915
['6243535', '6769405', '6916394'] #GCS: 0.0689733161179
['5203100', '6840624', '6916394'] #GCS: 0.0781251696901
['6243535', '6840624', '6916394'] #GCS: 0.0617968035342
['6780393', '6866291', '6916394'] #GCS: 0.0629752128606
['6243535', '6866291', '6916394'] #GCS: 0.0557547511624
['5805376', '6451936', '6866291'] #GCS: 0.118268371195
['6243535', '6451936', '6866291'] #GCS: 0.0809716639514
['6697415', '6769405', '6915778'] #GCS: 0.0365942993326
['5750745', '6243535', '6915778'] #GCS: 0.182752037627
['6243535', '6866291', '6915778'] #GCS: 0.0403757448672
['6697415', '6915778', '6917899'] #GCS: 0.0494957843213
['6757552', '6846862', '6915778'] #GCS: 0.0593621988982
['6697415', '6757552', '6915778'] #GCS: 0.0582409277092
['6780393', '6915778', '6917899'] #GCS: 0.0534435352783
['6243535', '6757552', '6925468'] #GCS: 0.0852527098255
['5750745', '6757552', '6925468'] #GCS: 0.0230189662825
['6243535', '6757552', '6917899'] #GCS: 0.0279705072403
['6243535', '6757552', '6780393'] #GCS: 0.0343469813844
['6757552', '6769405', '6866291'] #GCS: 0.0864658039299
['6243535', '6757552', '6769405'] #GCS: 0.0358247307876
['5750745', '6243535', '6757552'] #GCS: 0.0325453240647
['5750745', '5805376', '6757552'] #GCS: 0.0202133572827
['6757552', '6846862', '6872438'] #GCS: 0.0408778441781
['6243535', '6757552', '6846862'] #GCS: 0.0731690606441
['5347743', '6757552', '6840624'] #GCS: 0.0648682765242
['6697415', '6757552', '6872438'] #GCS: 0.0673280458513
['6697415', '6757552', '6917899'] #GCS: 0.0325578652167
['6697415', '6757552', '6840624'] #GCS: 0.0705926960141
['6243535', '6697415', '6757552'] #GCS: 0.0791351422278
['6757552', '6780393', '6866291'] #GCS: 0.059096743941
['6243535', '6757552', '6866291'] #GCS: 0.0417578627321
['6243535', '6757552', '6872438'] #GCS: 0.0516549778708
['5335750', '6780393', '6925468'] #GCS: 0.0542059743397
['6697415', '6866291', '6925468'] #GCS: 0.0627249155057
['6769405', '6780393', '6925468'] #GCS: 0.0455592604383
['6243535', '6769405', '6925468'] #GCS: 0.0531519881982
['5750745', '6769405', '6925468'] #GCS: 0.0276035235676
['5805376', '6697415', '6925468'] #GCS: 0.0673376095379
['5750745', '6866291', '6925468'] #GCS: 0.0389805200478
['5750745', '6780393', '6925468'] #GCS: 0.052445680046
['6243535', '6780393', '6925468'] #GCS: 0.0604460800864
['6403007', '6866291', '6925468'] #GCS: 0.0475582329581
