['5347743', '6403007', '6866291'] #GCS: 0.137925683026
['6780393', '6840624', '6866291'] #GCS: 0.389759599773
['6243535', '6780393', '6866291'] #GCS: 0.238699177176
['5347743', '6780393', '6866291'] #GCS: 0.161847961897
['5347743', '6243535', '6866291'] #GCS: 0.429357387832
['5347743', '6403007', '6840624'] #GCS: 0.331119973744
['5318403', '5347743', '6403007'] #GCS: 0.176453575204
['5318403', '6403007', '6872438'] #GCS: 0.402209258192
['5347743', '6403007', '6872438'] #GCS: 0.233884516359
['5318403', '6840624', '6872438'] #GCS: 0.273545938882
['6243535', '6840624', '6872438'] #GCS: 0.286868901526
['5347743', '6243535', '6840624'] #GCS: 0.157054130337
['5347743', '6840624', '6872438'] #GCS: 0.258122011579
['5318403', '6243535', '6872438'] #GCS: 0.18513247499
['5318403', '5347743', '6872438'] #GCS: 0.383649062945
